player,squad,league,season,transfermarkt_id,reason
Hong Hyunseok,Mainz 05,de Bundesliga,2024/25,,no matching player
Pierre Højbjerg,Marseille,fr Ligue 1,2024/25,,no matching player
Hafiz Ibrahim,Reims,fr Ligue 1,2024/25,,no matching player
Iglesias,Getafe,es La Liga,2024/25,,no matching player
Igor,Brighton,eng Premier League,2024/25,,no matching player
Rareş Ilie,Nice,fr Ligue 1,2024/25,,no matching player
Danny Ings,West Ham,eng Premier League,2024/25,,no matching player
Alessio Iovine,Como,it Serie A,2024/25,,no matching player
Andy Irving,West Ham,eng Premier League,2024/25,,no matching player
Ismaily,Lille,fr Ligue 1,2024/25,,no matching player
Yanis Issoufou,Montpellier,fr Ligue 1,2024/25,,no matching player
Diego Iturralde,Sevilla,es La Liga,2024/25,,no matching player
Marko Ivezić,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Armando Izzo,Monza,it Serie A,2024/25,,no matching player
Fellipe Jack,Como,it Serie A,2024/25,,no matching player
Lee Jae-sung,Mainz 05,de Bundesliga,2024/25,,no matching player
Ivan Jaime Pajuelo,Valencia,es La Liga,2024/25,,no matching player
Karl Jakob Hein,Valladolid,es La Liga,2024/25,,no matching player
Alejandro Jiménez,Milan,it Serie A,2024/25,,no matching player
Kim Jisoo,Brentford,eng Premier League,2024/25,,no matching player
João Pedro,Brighton,eng Premier League,2024/25,,no matching player
John Joe,Getafe,es La Liga,2024/25,,no matching player
John Joe,Reims,fr Ligue 1,2024/25,,no matching player
Jofre,Espanyol,es La Liga,2024/25,,no matching player
Þórir Jóhann Helgason,Lecce,it Serie A,2024/25,,no matching player
Carl Johansson,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Ben Johnson,Ipswich Town,eng Premier League,2024/25,,no matching player
Paul Joly,Auxerre,fr Ligue 1,2024/25,,no matching player
Jota,Rennes,fr Ligue 1,2024/25,,no matching player
Luiz Lúcio Reis Júnior,Villarreal,es La Liga,2024/25,,no matching player
Hamed Junior Traorè,Auxerre,fr Ligue 1,2024/25,,no matching player
Stanko Jurić,Valladolid,es La Liga,2024/25,,no matching player
Yusuf Kabadayı,Augsburg,de Bundesliga,2024/25,,no matching player
Issa Kaboré,Werder Bremen,de Bundesliga,2024/25,,no matching player
Yaya Kader Fofana,Reims,fr Ligue 1,2024/25,,no matching player
Ferdi Kadioglu,Brighton,eng Premier League,2024/25,,no matching player
Justin-Noël Kalumba,Angers,fr Ligue 1,2024/25,,no matching player
Waren Kamanzi,Toulouse,fr Ligue 1,2024/25,,no matching player
Kevin Kampl,RB Leipzig,de Bundesliga,2024/25,,no matching player
Nordine Kandil,Strasbourg,fr Ligue 1,2024/25,,no matching player
Lee Kang-in,Paris S-G,fr Ligue 1,2024/25,,no matching player
Lior Kasa,Genoa,it Serie A,2024/25,,no matching player
Joachim Kayi Sanda,Southampton,eng Premier League,2024/25,,no matching player
Abdoulaye Keita,Getafe,es La Liga,2024/25,,no matching player
Andu Kelati,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Thomas Keller,Heidenheim,de Bundesliga,2024/25,,no matching player
Marc-Oliver Kempf,Como,it Serie A,2024/25,,no matching player
Wahbi Khazri,Montpellier,fr Ligue 1,2024/25,,no matching player
Kialonda,Lecce,it Serie A,2024/25,,no matching player
Kiké,Alavés,es La Liga,2024/25,,no matching player
Max Kilman,West Ham,eng Premier League,2024/25,,no matching player
Presnel Kimpembe,Paris S-G,fr Ligue 1,2024/25,,no matching player
Cédric Kipré,Reims,fr Ligue 1,2024/25,,no matching player
Koka,Le Havre,fr Ligue 1,2024/25,,no matching player
Marco Komenda,Holstein Kiel,de Bundesliga,2024/25,,no matching player
Ismael Konate,Empoli,it Serie A,2024/25,,no matching player
Abdoul Koné,Reims,fr Ligue 1,2024/25,,no matching player
Kacper Koscierski,Bochum,de Bundesliga,2024/25,,no matching player
Henri Koudossou,Augsburg,de Bundesliga,2024/25,,no matching player
Emmanuel Koum Mbondo,Marseille,fr Ligue 1,2024/25,,no matching player
Boubakar Kouyaté,Montpellier,fr Ligue 1,2024/25,,no matching player
Viktor Kovalenko,Empoli,it Serie A,2024/25,,no matching player
Mateusz Kowalski,Parma,it Serie A,2024/25,,no matching player
Ladislav Krejčí,Girona,es La Liga,2024/25,,no matching player
Moritz-Broni Kwarteng,Bochum,de Bundesliga,2024/25,,no matching player
Giorgos Kyriakopoulos,Monza,it Serie A,2024/25,,no matching player
Gaëtan Laborde,Nice,fr Ligue 1,2024/25,,no matching player
Younes Lachaab,Lille,fr Ligue 1,2024/25,,no matching player
Adam Lallana,Southampton,eng Premier League,2024/25,,no matching player
Mathis Lambourde,Hellas Verona,it Serie A,2024/25,,no matching player
Mohamed Lamine Bayo,Lille,fr Ligue 1,2024/25,,no matching player
Will Lankshear,Tottenham,eng Premier League,2024/25,,no matching player
Cyle Larin,Mallorca,es La Liga,2024/25,,no matching player
Gautier Larsonneur,Saint-Étienne,fr Ligue 1,2024/25,,no matching player
Juanmi Latasa,Valladolid,es La Liga,2024/25,,no matching player
Darko Lazović,Hellas Verona,it Serie A,2024/25,,no matching player
Julien Le Cardinal,Brest,fr Ligue 1,2024/25,,no matching player
Jérémy Le Douaron,Brest,fr Ligue 1,2024/25,,no matching player
Nunzio Lella,Venezia,it Serie A,2024/25,,no matching player
Ben Lhassine Kone,Como,it Serie A,2024/25,,no matching player
Mattia Liberali,Milan,it Serie A,2024/25,,no matching player
Pedro Lima,Wolves,eng Premier League,2024/25,,no matching player
Valentino Livramento,Newcastle Utd,eng Premier League,2024/25,,no matching player
Marin Ljubicic,Union Berlin,de Bundesliga,2024/25,,no matching player
Javier Llabrés,Mallorca,es La Liga,2024/25,,no matching player
Elysée Logbo,Le Havre,fr Ligue 1,2024/25,,no matching player
Enzo Loiodice,Las Palmas,es La Liga,2024/25,,no matching player
Roberto López,Leganés,es La Liga,2024/25,,no matching player
Anthony Losilla,Bochum,de Bundesliga,2024/25,,no matching player
